Date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,average,Label2,Label3
2014-03-22,Wheat Production May Move into Central Brazil,2014/15 Does not look like a Rebound Year for Brazil's Sugar Sector,First Look at 2014 U.S. Growing Season,2013/14 Cotton Acreage in Mato Grosso up 34%,Brazil and Paraguay to Plant 1.3 mha of Safrinha Soybeans,Insured Crop Acreage in Brazil Expected to Triple in Ten Years,Minas Gerais Hit Hard by Hot and Dry Summer Weather in Brazil,Argentine Government's Goal is to Double Irrigated Acreage,Argentine Farmers still holding over 7 Million Tons of Soybeans,Predicted El Nino would have Mixed Impact in Brazil,"4,89",1,1
2014-03-25,Predicted El Nino would have Mixed Impact in Brazil,Cargill and Copersucar Form Joint Sugar Venture,First Look at 2014 U.S. Growing Season,Brazil and Paraguay to Plant 1.3 mha of Safrinha Soybeans,Lineup of Vessels at Brazilian Ports Down from Last Year,2014/15 Does not look like a Rebound Year for Brazil's Sugar Sector,2013/14 Cotton Acreage in Mato Grosso up 34%,Argentine Government's Goal is to Double Irrigated Acreage,Minas Gerais Hit Hard by Hot and Dry Summer Weather in Brazil,Insured Crop Acreage in Brazil Expected to Triple in Ten Years,"4,91",1,1
2014-03-28,Corn Earworm Damage in Bahia less than Feared,Brazilian Ranchers Combining Cattle and Row Crops for Profit,Cargill and Copersucar Form Joint Sugar Venture,Grain Companies Propose Three New Railroads for Mato Grosso,2013/14 Cotton Acreage in Mato Grosso up 34%,2014/15 Does not look like a Rebound Year for Brazil's Sugar Sector,Lineup of Vessels at Brazilian Ports Down from Last Year,Farmers in Southern Brazil Turning Attention to Planting Wheat,,,"4,99",1,0
2014-03-31,Brazil on track for Record Soybean Exports,Cargill and Copersucar Form Joint Sugar Venture,Lineup of Vessels at Brazilian Ports Down from Last Year,"""Flex"" Sugar Mills in Brazil Produce 35 Million Liters of Ethanol",Corn Earworm Damage in Bahia less than Feared,Brazilian Ranchers Combining Cattle and Row Crops for Profit,Grain Companies Propose Three New Railroads for Mato Grosso,Farmers in Southern Brazil Turning Attention to Planting Wheat,,,"5,01",1,0
2014-04,Corn Earworms Bridge Gap between Soy Crops Surviving on Millet,USDA's 2014 U.S. Total Acreage Numbers may be Too Small,Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn,Amazon River Route Inaugurated for Brazilian Soybean Exports,Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates,Developing El Nino could Benefit Brazil's Corn and Soybean Crops,Grain Transport Costs in Brazil are 4-5 Times higher than in U.S.,Wheat Production in Argentina and Brazil could Rebound in 2014,"""Brazil Cost"" was Main Theme of Seminar in Brazilian Congress",Brazil May Increase Ethanol Blend in Gasoline from 25% to 27.5%,"14,32",1,1
2014-04,Corn Earworms Bridge Gap between Soy Crops Surviving on Millet,U.S. Corn Planting Remains Behind the Average Pace,USDA's 2014 U.S. Total Acreage Numbers may be Too Small,Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn,Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates,Developing El Nino could Benefit Brazil's Corn and Soybean Crops,When Would Corn Planting in the U.S. be Considered Late,Exporting Grain in Containers an Emerging Trend in Brazil,Corn Planting Progress Remains Slow in the U.S.,Grain Transport Costs in Brazil are 4-5 Times higher than in U.S.,"4,91",1,1
2014-04-03,"Brazilian Corn Producers are Slow Sellers, Expecting Higher Prices",Farmers in Southern Brazil Turning Attention to Planting Wheat,Brazil on track for Record Soybean Exports,Where Does the Weather Need to Improve the Most in the U.S.,U.S. Spring Weather Continues to be Less than Ideal,Brazilian Corn Producers are Slow Sellers Expecting Higher Prices,Program Encourages Grain Storage Expansion in Brazil,Will 2014 U.S. Corn Yields be impacted by Delayed Planting,Grain Companies Propose Three New Railroads for Mato Grosso,"""Flex"" Sugar Mills in Brazil Produce 35 Million Liters of Ethanol","5,02",0,0
2014-04-06,Brazilian Corn Producers are Slow Sellers Expecting Higher Prices,U.S. Spring Weather Continues to be Less than Ideal,Where Does the Weather Need to Improve the Most in the U.S.,Program Encourages Grain Storage Expansion in Brazil,"Brazilian Corn Producers are Slow Sellers, Expecting Higher Prices",Will 2014 U.S. Corn Yields be impacted by Delayed Planting,Mato Grosso Farmers have Sold 75% of their Soy 12% of Corn,"Mato Grosso Farmers have Sold 75% of their Soy, 12% of Corn",,,"5,02",0,0
2014-04-09,Where Does the Weather Need to Improve the Most in the U.S.,Transport Costs in Brazil Rising Much Faster than Inflation,Biomass Promoted as Alternative Energy Source in Brazil,"Mato Grosso Farmers have Sold 75% of their Soy, 12% of Corn",Sunflowers Gaining in Brazil as Second Crop Following Soybeans,Mato Grosso Farmers have Sold 75% of their Soy 12% of Corn,Brazil May Increase Ethanol Blend in Gasoline from 25% to 27.5%,Will 2014 U.S. Corn Yields be impacted by Delayed Planting,,,"5,02",0,-1
2014-04-15,Mato Grosso and Sao Paulo are two Main Ag States in Brazil,Brazil May Increase Ethanol Blend in Gasoline from 25% to 27.5%,Return of Cool Temperatures Slows U.S. Spring Planting Pace,Transport Costs in Brazil Rising Much Faster than Inflation,After Delayed Start Brazil's Safrinha Corn in Good Condition\,After Delayed Start Brazil's Safrinha Corn in Good Condition\\,"""Brazil Cost"" was Main Theme of Seminar in Brazilian Congress",,,,"4,96",1,1
2014-04-24,Brazil's 2014/15 Sugarcane Harvest off to a Slow Start,Exporting Grain in Containers an Emerging Trend in Brazil,"U.S. Planting Pace Accelerates, but Still Slower than Average",Brazil's Transport Minister needs R$ 400 Billion to Upgrade System,U.S. Planting Pace Accelerates but Still Slower than Average,Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates,Developing El Nino could Benefit Brazil's Corn and Soybean Crops,When Would Corn Planting in the U.S. be Considered Late,,,"5,11",0,0
2014-04-27,When Would Corn Planting in the U.S. be Considered Late,"U.S. Planting Pace Accelerates, but Still Slower than Average",Amazon River Route Inaugurated for Brazilian Soybean Exports,Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates,Brazil Could Produce Record Wheat Crop in 2014/15,Developing El Nino could Benefit Brazil's Corn and Soybean Crops,Brazil's 2014/15 Sugarcane Harvest off to a Slow Start,U.S. Planting Pace Accelerates but Still Slower than Average,New Wheat Variety Could Double Wheat Yields in Brazil,,"5,11",1,0
2014-04-30,Brazil's Largest Agrishow Ends on Positive Note,Dry Season Taking hold in Southeastern and Central Brazil,Developing El Nino could Benefit Brazil's Corn and Soybean Crops,Brazilian Farmers are slow Sellers of their 2014SafrinhaCorn,New Wheat Variety Could Double Wheat Yields in Brazil,Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates,Brazil Could Produce Record Wheat Crop in 2014/15,Amazon River Route Inaugurated for Brazilian Soybean Exports,Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn,,"5,1",0,0
2014-05,El Nino could Favor Soybean and Corn Production in Brazil,Soybeans Surpass Iron Ore as Main Brazil Export thus far in 2014,Argentine Farmers are Slow Sellers of their 2013/14 Soybeans,Brazil Increases Biodiesel Blend to B7 Sites many Advantages,Corn Production Costs Higher in Mato Grosso for 2014/15,Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014,Dry Summer Weather Impacting Brazilian Sugar Production,Prohibition of Safrinha Soybeans being proposed for Mato Grosso,Mato Grosso Safrinha Corn Estimate increased slightly by Imea,Brazilian Corn Farmers are slow Sellers Exports Lag Last Year,"14,85",1,1
2014-05,El Nino could Favor Soybean and Corn Production in Brazil,First Rating Indicates the U.S. Corn is in Very Good Condition,Argentine Farmers are Slow Sellers of their 2013/14 Soybeans,Brazil Increases Biodiesel Blend to B7 Sites many Advantages,Corn Production Costs Higher in Mato Grosso for 2014/15,Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014,Dry Summer Weather Impacting Brazilian Sugar Production,Brazilian Gov. Supplying Low Interest Loans for new Grain Silos,Mato Grosso Safrinha Corn Estimate increased slightly by Imea,Brazilian Corn Farmers are slow Sellers Exports Lag Last Year,"5,05",1,1
2014-05-03,Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn,Brazilian Farmers are slow Sellers of their 2014SafrinhaCorn,Corn Earworms Bridge Gap between Soy Crops Surviving on Millet,U.S. Corn Planting Remains Behind the Average Pace,USDA's 2014 U.S. Total Acreage Numbers may be Too Small,Brazil's Largest Agrishow Ends on Positive Note,Dry Season Taking hold in Southeastern and Central Brazil,,,,"5,13",0,-1
2014-05-06,U.S. Corn Planting Remains Behind the Average Pace,Corn Earworms Bridge Gap between Soy Crops Surviving on Millet,Brazilian Farmers are slow Sellers of their 2014SafrinhaCorn,Dry Season Taking hold in Southeastern and Central Brazil,Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn,USDA's 2014 U.S. Total Acreage Numbers may be Too Small,,,,,"5,11",0,-1
2014-05-15,Prohibition of Safrinha Soybeans being proposed for Mato Grosso,Mato Grosso Safrinha Corn Estimate increased slightly by Imea,Sugarcane Producers want Brazil Gov. to Increase Price of Gasoline,2013/14 Corn Sales Remain Slow in Mato Grosso,U.S. Planting Last Week Caught up to the Average Pace,Brazilian Corn Farmers are slow Sellers Exports Lag Last Year,,,,,"4,79",0,0
2014-05-18,President Rousseff Announces 2014/15 Harvest Plan for Brazil,Prohibition of Safrinha Soybeans being proposed for Mato Grosso,Brazilian Gov. Supplying Low Interest Loans for new Grain Silos,Mato Grosso Safrinha Corn Estimate increased slightly by Imea,Dry Summer Weather Impacting Brazilian Sugar Production,Brazilian Corn Farmers are slow Sellers Exports Lag Last Year,,,,,"4,76",0,-1
2014-05-21,Good Weather Encourages Rapid Planting Progress Across U.S.,President Rousseff Announces 2014/15 Harvest Plan for Brazil,Prohibition of Safrinha Soybeans being proposed for Mato Grosso,Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014,Dry Summer Weather Impacting Brazilian Sugar Production,Brazilian Gov. Supplying Low Interest Loans for new Grain Silos,Mato Grosso Safrinha Corn Estimate increased slightly by Imea,,,,"4,75",0,-1
2014-05-24,Corn Production Costs Higher in Mato Grosso for 2014/15,Brazil Increases Biodiesel Blend to B7 Sites many Advantages,Fewer Sugar Mills Operating in Brazil compared to Last Year,Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014,Good Weather Encourages Rapid Planting Progress Across U.S.,Cooperatives in Southern Brazil work to Overcome Storage Deficits,El Nino could Favor Soybean and Corn Production in Brazil,,,,"4,69",0,-1
2014-05-27,Late Season Planting in U.S. Progressing Faster than Average,Good Weather Encourages Rapid Planting Progress Across U.S.,Fewer Sugar Mills Operating in Brazil compared to Last Year,Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014,Argentine Farmers are Slow Sellers of their 2013/14 Soybeans,El Nino could Favor Soybean and Corn Production in Brazil,First Rating Indicates the U.S. Corn is in Very Good Condition,Corn Production Costs Higher in Mato Grosso for 2014/15,Brazil Increases Biodiesel Blend to B7 Sites many Advantages,Cooperatives in Southern Brazil work to Overcome Storage Deficits,"4,69",0,-1
2014-06,2014/15 Brazilian Soybean and Corn Acreage and Production,2014/15 Argentine Soybean and Corn Acreage and Production,Economic Uncertainty in Argentina make Farmers slow Sellers,Domestic Corn Prices in Brazil Continue to Decline,Trip Report - Iowa Minnesota S.E. South Dakota N. Illinois,Wetness Causes Uncertainly for June Planted Report,U.S. Corn Condition Improves Slightly while Soy Declines Slightly,90-Day Soybean Free Period now in Effect in Most of Brazil,Wheat Production Increasing in Brazil's Cerrado Region,Port of Santos Struggles while Paranagua Exports Record Soy,"14,84",0,0
2014-06,Sunflowers can offer Alternative to Safrinha Corn in Mato Grosso,2014/15 Brazilian Soybean and Corn Acreage and Production,2014/15 Argentine Soybean and Corn Acreage and Production,Producers in Brazil want Government help in Marketing their Corn,Economic Uncertainty in Argentina make Farmers slow Sellers,Corn-Based Ethanol Possible in Mato Grosso - at least on Paper,Domestic Corn Prices in Brazil Continue to Decline,Trip Report - Iowa Minnesota S.E. South Dakota N. Illinois,Wetness Causes Uncertainly for June Planted Report,Heavy Rains Pound NW Corn Belt resulting in Localized Flooding,"4,7",0,-1
2014-06-05,Wheat Planting Pace in Southern Brazil Varies by Location,Soybeans Surpass Iron Ore as Main Brazil Export thus far in 2014,Russia Turns to Brazil for Needed Pork Imports,,,,,,,,"4,49",0,-1
2014-06-08,Port of Santos Struggles while Paranagua Exports Record Soy,Wheat Production Increasing in Brazil's Cerrado Region,Russia Turns to Brazil for Needed Pork Imports,,,,,,,,"4,46",0,0
2014-06-11,Port of Santos Struggles while Paranagua Exports Record Soy,Wheat Production Increasing in Brazil's Cerrado Region,U.S. Corn Condition Improves Slightly while Soy Declines Slightly,90-Day Soybean Free Period now in Effect in Most of Brazil,,,,,,,"4,42",1,0
2014-06-14,Heavy Rains Pound NW Corn Belt resulting in Localized Flooding,U.S. Corn Condition Improves Slightly while Soy Declines Slightly,90-Day Soybean Free Period now in Effect in Most of Brazil,Wet Weather Slows Planting of Winter Crops in Southern Brazil,,,,,,,"4,45",0,0
2014-06-17,U.S. Corn Condition Improves Slightly while Soy Declines Slightly,90-Day Soybean Free Period now in Effect in Most of Brazil,Heavy Rains Pound NW Corn Belt resulting in Localized Flooding,Wet Weather Slows Planting of Winter Crops in Southern Brazil,,,,,,,"4,46",0,-1
2014-06-20,Brazilian Sugarcane Producers are in Lose-Lose Situation,"Trip Report - Iowa, Minnesota, S.E. South Dakota, N. Illinois",Wetness Causes Uncertainly for June Planted Report,Trip Report - Iowa Minnesota S.E. South Dakota N. Illinois,A Milder but Wet Winter Season Expected in Southern Brazil,How Many Acres Lost in U.S. and is this a Repeat of 1993,Domestic Corn Prices in Brazil Continue to Decline,,,,"4,44",0,-1
2014-06-23,Brazilian Sugarcane Producers are in Lose-Lose Situation,"Trip Report - Iowa, Minnesota, S.E. South Dakota, N. Illinois",Trip Report - Iowa Minnesota S.E. South Dakota N. Illinois,Domestic Corn Prices in Brazil Continue to Decline,How Many Acres Lost in U.S. and is this a Repeat of 1993,Wetness Causes Uncertainly for June Planted Report,A Milder but Wet Winter Season Expected in Southern Brazil,Brazil may Import another 1.0 mt of Wheat until mid-August,,,"4,42",0,-1
2014-06-26,Brazilian Sugarcane Producers are in Lose-Lose Situation,Brazil's Sugarcane Crop Continues to Struggle with Dry Conditions,Corn-Based Ethanol Possible in Mato Grosso - at least on Paper,Brazil may Import another 1.0 mt of Wheat until mid-August,Domestic Corn Prices in Brazil Continue to Decline,,,,,,"4,26",0,-1
2014-06-29,Economic Uncertainty in Argentina make Farmers slow Sellers,New Mobile Apt Matches Truck Drivers and Cargos in Brazil,Corn-Based Ethanol Possible in Mato Grosso - at least on Paper,Brazil Defends Decision to Temporarily Drop Wheat Import Tariff,Brazil's Sugarcane Crop Continues to Struggle with Dry Conditions,,,,,,"4,14",0,-1
2014-07,Announcement of Pepro Program Raises Corn Prices in Mato Grosso,Pepro Corn Program in Brazil set to Start by mid-August,Trip Report-Illinois Missouri S. Iowa NE Kansas and SE Nebraska,Brazilian Corn Farmers Petition Government for Price Assistance,Brazilian Government will Attempt to Limit Safrinha Soy Production,Corn Prices make small Rebound in Mato Grosso Brazil,Monsanto wants to Increase Corn Refuse areas in Brazil,Low Corn Prices in Mato Grosso Good for Corn-Ethanol Production,Brazilian Scientists Worry Bt Corn Losing its Effectiveness,Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso Brazil,"4,28",0,-1
2014-07,Announcement of Pepro Program Raises Corn Prices in Mato Grosso,90-day Soybean Free Period helps to Control Spread of Rust in Brazil,Trip Report-Illinois Missouri S. Iowa NE Kansas and SE Nebraska,Brazilian Corn Farmers Petition Government for Price Assistance,Brazilian Government will Attempt to Limit Safrinha Soy Production,Corn Prices make small Rebound in Mato Grosso Brazil,Rain in Mato Grosso Complicates Soybean Eradication Efforts,Monsanto wants to Increase Corn Refuse areas in Brazil,Low Corn Prices in Mato Grosso Good for Corn-Ethanol Production,Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso Brazil,"13,67",0,-1
2014-07-02,New Mobile Apt Matches Truck Drivers and Cargos in Brazil,Brazilian Airline Experimenting with Biokerosene Fuel,Brazil Defends Decision to Temporarily Drop Wheat Import Tariff,Economic Uncertainty in Argentina make Farmers slow Sellers,Producers in Brazil want Government help in Marketing their Corn,,,,,,"4,05",0,-1
2014-07-05,2014/15 Brazilian Soybean and Corn Acreage and Production,Brazilian Airline Experimenting with Biokerosene Fuel,Sunflowers can offer Alternative to Safrinha Corn in Mato Grosso,Producers in Brazil want Government help in Marketing their Corn,2014/15 Argentine Soybean and Corn Acreage and Production,First Semester Ag Equipment Sales decline 19% in Brazil,,,,,"3,91",0,-1
2014-07-08,Brazilian Airline Experimenting with Biokerosene Fuel,2014/15 Argentine Soybean and Corn Acreage and Production,First Semester Ag Equipment Sales decline 19% in Brazil,Sunflowers can offer Alternative to Safrinha Corn in Mato Grosso,Producers in Brazil want Government help in Marketing their Corn,2014/15 Brazilian Soybean and Corn Acreage and Production,,,,,"3,87",0,-1
2014-07-11,Brazilians looking for Gov. Help as Corn Prices fall to US$ 2.33 bu,Trip Report - Indiana Ohio and Eastern Illinois,"Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso, Brazil",Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso Brazil,First Semester Ag Equipment Sales decline 19% in Brazil,"Trip Report - Indiana, Ohio, and Eastern Illinois",Brazilian Farmers still Plan on Increasing their Soybean Acreage,,,,"3,78",0,-1
2014-07-17,Low Corn Prices in Mato Grosso Good for Corn-Ethanol Production,Monsanto wants to Increase Corn Refuse areas in Brazil,Brazil's Beef Exports to China Expected to Surge in 2015,Brazil President discusses Infrastructure with Chinese Counterpart,"Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso, Brazil",Wheat Planting in Southern Brazil Slowly Coming to an End,Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso Brazil,Brazilian Scientists Worry Bt Corn Losing its Effectiveness,Conab's Storage Facilities fall into Disrepair in Mato Grosso do Sul,,"3,68",0,0
2014-07-20,"Corn Prices make small Rebound in Mato Grosso, Brazil",Rain in Mato Grosso Complicates Soybean Eradication Efforts,Corn Prices make small Rebound in Mato Grosso Brazil,Low Corn Prices in Mato Grosso Good for Corn-Ethanol Production,Brazil President discusses Infrastructure with Chinese Counterpart,Monsanto wants to Increase Corn Refuse areas in Brazil,Brazil's Beef Exports to China Expected to Surge in 2015,Conab's Storage Facilities fall into Disrepair in Mato Grosso do Sul,Wheat Planting in Southern Brazil Slowly Coming to an End,,"3,62",0,0
